Model,RMSE ($/barrel),MAE ($/barrel),MAPE (%),Rank
Random Forest,1.3743977887405348,1.0458394989599709,1.3003941632722946,1
XGBoost,1.4476731354082202,1.1302913003374442,1.4038336171564292,2
ARIMA,1.4584212859255943,1.1166994735295053,1.3917099307844125,3
GRU,1.4729860548025806,1.1286912980190544,1.407296343215802,4
LSTM,1.4837555274742757,1.143138443702875,1.4241602757499532,5
